material,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
625525,4.0,578.938,71.862,1,0.0,30,0.0,2.6,160,0,0,0.0,0.0,0.0,0.0,25,0,25,8,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.6,5.0,5.0,0.0,0,7.0,30,15,0.0
625555,2.5,532.338,71.862,1,0.0,30,0.0,7.0,160,0,0,0.0,0.0,0.0,0.0,25,0,40,8,0.0,30,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,3.0,4.3,1.0,0.5,0.0,0,7.5,30,15,0.0
625595,4.0,573.638,71.862,1,0.0,30,0.0,13.0,160,0,0,0.0,0.0,0.0,0.0,25,0,25,8,0.0,0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.5,10.0,0.0,0.0,0.0,0,9.0,30,15,0.0
625605,4.0,556.638,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,2.5,0.0,0.0,0.0,7.2,4.1,0.0,1.0,8.0,1.4,0.0,2.0,4.8,0,7.5,30,30,0.0
625645,4.0,564.438,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,2.0,1.7,0.0,2.0,2.0,0,10.0,30,30,0.0
626005,4.0,570.938,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.4,10.0,0.0,0.0,0.0,15.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,10.0,30,15,0.0
626065,4.0,555.238,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.4,8.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0,10.0,30,15,0.0
626085,4.0,528.838,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.5,5.0,0.0,0.0,0.0,17.4,0.7,0.0,2.35,0.5,0.0,0.0,0.0,4.85,0,10.0,30,15,0.0
626125,4.0,567.496,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,2.46,0.0,0.0,0.0,5.37,0.902,0.0,7.04,0.0,0.15,0.0,0.0,4.22,0,7.5,30,30,0.0
626135,4.0,601.078,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.12,0.28,2.4,0.36,0.0,0.0,0.0,4.4,0,7.5,30,15,0.0
